Description,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12
3 GARDENIA MORRIS BOXED CANDLES,38.25,89.25,8.5,17.0,0.0,34.0,4.25,4.25,17.0,68.0,434.0,117.5,0.0
3 HEARTS HANGING DECORATION RUSTIC,941.0500000000001,23.6,0.0,5.9,23.6,56.050000000000004,53.1,67.85000000000001,274.35,899.6400000000001,1014.19,1634.19,188.69
3 HOOK HANGER MAGIC GARDEN,117.0,127.05,185.25,105.3,156.29999999999998,117.0,79.94999999999999,62.4,95.55,68.25,0.0,0.0,0.0
3 HOOK PHOTO SHELF ANTIQUE WHITE,0.0,0.0,0.0,166.8,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0
3 PIECE SPACEBOY COOKIE CUTTER SET,291.90000000000003,289.8,193.20000000000002,218.40000000000003,155.4,132.3,90.30000000000001,77.7,268.8,212.03000000000003,335.72,489.16,100.73
3 PINK HEN+CHICKS IN BASKET,0.0,6.25,3.75,3.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 RAFFIA RIBBONS 50'S CHRISTMAS ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.6,438.06,525.5,67.94
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.78,156.15,104.28,26.07
3 ROSE MORRIS BOXED CANDLES,117.5,77.0,44.75,0.0,17.0,0.0,21.25,4.25,0.0,17.0,364.86,708.75,125.25
3 STRIPEY MICE FELTCRAFT,378.29999999999995,87.75,265.2,362.7,167.7,276.9,235.95,276.9,360.75,368.78,420.23999999999995,626.87,242.26
3 TRADITIONAL COOKIE CUTTERS  SET,37.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 TRADITIONAl BISCUIT CUTTERS  SET,126.00000000000001,197.40000000000003,140.70000000000002,165.9,159.60000000000002,134.4,214.20000000000002,214.20000000000002,119.70000000000002,250.43000000000004,195.16000000000003,367.43000000000006,44.10000000000001
3 WHITE CHOC MORRIS BOXED CANDLES,111.0,92.0,17.0,0.0,0.0,34.0,21.25,0.0,0.0,63.75,281.0,561.25,85.0
3 WICK CHRISTMAS BRIAR CANDLE ,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36 DOILIES DOLLY GIRL,21.75,88.44999999999999,29.0,100.04999999999998,129.04999999999998,43.5,18.849999999999998,37.699999999999996,71.05,160.95,89.89999999999999,34.8,0.0
36 DOILIES VINTAGE CHRISTMAS,0.0,0.0,0.0,0.0,0.0,0.0,17.4,88.44999999999999,229.09999999999997,1091.3999999999999,993.2499999999999,17.4,0.0
36 FOIL HEART CAKE CASES,180.60000000000002,291.90000000000003,153.3,117.60000000000002,119.7,56.7,94.50000000000001,147.0,67.2,107.10000000000001,180.46,48.160000000000004,45.03
36 FOIL STAR CAKE CASES ,92.4,42.00000000000001,136.5,54.60000000000001,102.9,21.0,42.00000000000001,96.60000000000001,71.4,153.3,111.30000000000001,144.9,44.24
36 PENCILS TUBE POSY,6.25,5.0,0.0,0.0,13.75,5.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0
36 PENCILS TUBE RED RETROSPOT,115.0,58.75,72.5,196.25,205.0,205.0,265.0,88.75,286.25,322.5,247.5,523.75,31.25
36 PENCILS TUBE SKULLS,48.75,82.5,50.0,128.75,210.0,123.75,106.25,100.0,117.5,148.75,237.5,326.25,73.75
36 PENCILS TUBE WOODLAND,92.5,75.0,68.75,168.75,192.5,122.5,225.0,121.25,308.75,251.25,87.5,0.0,0.0
3D CHRISTMAS STAMPS STICKERS ,122.5,0.0,0.0,0.0,0.0,0.0,0.0,26.25,72.5,196.13,504.72,183.11,52.26
3D DOG PICTURE PLAYING CARDS,197.65000000000003,56.050000000000004,11.8,44.25,5.9,0.0,73.75,26.55,59.0,20.650000000000002,14.750000000000002,129.8,2.95
3D HEARTS  HONEYCOMB PAPER GARLAND,2.95,135.70000000000002,44.25000000000001,85.55000000000001,64.9,79.65,53.10000000000001,153.40000000000003,96.6,0.0,0.0,0.0,0.0
3D SHEET OF CAT STICKERS,32.3,38.25,17.0,25.5,11.049999999999999,3.4,5.95,0.85,32.3,5.1,11.049999999999999,0.85,0.0
3D SHEET OF DOG STICKERS,28.9,32.3,6.8,26.349999999999998,10.2,12.75,2.55,11.899999999999999,21.25,5.1,8.5,34.78,0.0
3D TRADITIONAL CHRISTMAS STICKERS,115.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,113.75,378.43,524.64,551.74,38.75
3D VINTAGE CHRISTMAS STICKERS ,107.5,0.0,0.0,0.0,0.0,0.0,0.0,23.75,137.5,286.09,556.01,422.75,57.3
4 BLUE DINNER CANDLES SILVER FLOCK,43.349999999999994,5.1,17.849999999999998,0.0,48.449999999999996,15.299999999999999,5.1,12.75,10.2,28.049999999999997,7.6499999999999995,22.95,0.0
4 BURGUNDY WINE DINNER CANDLES,17.5,1.25,0.0,0.0,5.0,1.25,0.0,0.0,16.25,1.25,2.5,8.75,0.0
4 IVORY DINNER CANDLES SILVER FLOCK,215.85,20.4,50.7,7.6499999999999995,20.4,35.400000000000006,78.15,20.4,38.25,73.65,119.25,157.79999999999998,47.400000000000006
4 LAVENDER BOTANICAL DINNER CANDLES,105.0,105.0,3.75,0.0,45.0,30.0,18.75,0.0,22.5,37.5,171.25,422.5,22.5
4 LILY  BOTANICAL DINNER CANDLES,97.5,162.0,22.5,30.75,30.0,18.75,33.75,39.0,18.75,41.25,115.0,193.75,0.0
4 PEAR BOTANICAL DINNER CANDLES,63.75,67.5,26.25,11.25,0.0,7.5,18.75,0.0,11.25,3.75,147.5,503.75,82.5
4 PINK DINNER CANDLE SILVER FLOCK,2.55,22.95,20.4,0.0,5.1,2.55,35.699999999999996,5.1,0.0,15.299999999999999,10.2,71.39999999999999,38.71
4 PINK FLOCK CHRISTMAS BALLS,16.25,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,2.5,23.75,0.0
4 ROSE PINK DINNER CANDLES,15.0,18.75,6.25,15.0,2.5,0.0,0.0,0.0,30.0,18.75,2.5,0.0,3.75
4 SKY BLUE DINNER CANDLES,15.0,0.0,6.25,16.25,0.0,0.0,0.0,8.75,0.0,13.75,8.75,0.0,3.75
4 TRADITIONAL SPINNING TOPS,240.0,163.75,176.25,262.5,142.1,323.34999999999997,246.49999999999997,421.95,257.15,357.84,566.3299999999999,813.0899999999999,226.01999999999998
4 VANILLA BOTANICAL CANDLES,101.25,60.0,18.75,30.0,22.5,18.75,22.5,0.0,22.5,15.0,161.25,458.75,91.25
4 WILDFLOWER BOTANICAL CANDLES,26.25,90.0,37.5,37.5,7.5,7.5,33.75,0.0,3.75,0.0,115.0,112.5,0.0
5 HOOK HANGER MAGIC TOADSTOOL,110.54999999999998,141.89999999999998,95.69999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 HOOK HANGER RED MAGIC TOADSTOOL,127.04999999999998,135.29999999999998,158.39999999999998,282.15,154.34999999999997,49.49999999999999,123.74999999999999,34.65,9.899999999999999,32.99999999999999,3.3,44.55,0.0
5 STRAND GLASS NECKLACE AMBER,6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35,0.0,0.0
5 STRAND GLASS NECKLACE AMETHYST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0
5 STRAND GLASS NECKLACE BLACK,12.7,0.0,0.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0
5 STRAND GLASS NECKLACE CRYSTAL,38.099999999999994,0.0,0.0,0.0,12.7,6.35,0.0,0.0,0.0,19.049999999999997,0.0,25.4,0.0
50'S CHRISTMAS PAPER GIFT BAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.599999999999998,156.61999999999998,346.03999999999996,245.99999999999997,27.879999999999995
50CM METAL STRING WITH  7 CLIPS,0.0,10.2,4.25,10.2,1.7,10.2,6.8,0.0,10.2,1.7,3.4,6.8,0.0
6 CHOCOLATE LOVE HEART T-LIGHTS,218.40000000000003,138.60000000000002,79.08000000000001,84.66000000000001,29.400000000000002,25.200000000000003,42.00000000000001,12.600000000000001,102.60000000000002,38.260000000000005,96.25,174.23000000000002,12.600000000000001
6 GIFT TAGS 50'S CHRISTMAS ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.44,547.8,723.7599999999999,646.5699999999999,102.91999999999999
6 GIFT TAGS VINTAGE CHRISTMAS ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.35999999999999,473.09999999999997,696.3699999999999,546.9699999999999,144.42
6 RIBBONS ELEGANT CHRISTMAS ,156.89999999999998,3.3,6.6,0.0,0.0,8.25,0.0,0.0,66.0,153.43999999999997,102.16,474.90999999999997,211.6
6 RIBBONS EMPIRE  ,113.84999999999998,21.449999999999996,98.99999999999999,173.24999999999997,115.49999999999999,6.6,26.4,47.849999999999994,123.74999999999999,148.99999999999997,141.7,132.64999999999998,133.0
6 RIBBONS RUSTIC CHARM,722.6999999999999,527.9999999999999,618.7499999999999,971.8499999999999,564.3,791.9999999999999,643.4999999999999,821.6999999999999,980.0999999999999,1605.6299999999999,1641.77,1140.37,339.17
6 RIBBONS SHIMMERING PINKS ,122.99999999999999,58.65,6.6,64.35,19.799999999999997,19.799999999999997,0.0,1.65,49.49999999999999,59.099999999999994,102.13999999999999,72.94999999999999,74.44
6 ROCKET BALLOONS ,59.150000000000006,79.30000000000001,24.700000000000003,80.6,61.75,85.80000000000001,132.8,67.60000000000001,42.900000000000006,115.4,69.45,130.1,45.25
60 CAKE CASES DOLLY GIRL DESIGN,92.95,199.65,114.4,239.8,155.65,150.15,93.50000000000001,156.20000000000002,239.25000000000003,355.93,262.8,211.88000000000002,73.85000000000001
60 CAKE CASES VINTAGE CHRISTMAS,377.85,0.0,0.0,13.200000000000001,0.0,0.55,1.1,114.95,152.35000000000002,750.2,806.85,963.0500000000001,225.50000000000003
60 GOLD AND SILVER FAIRY CAKE CASES,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60 TEATIME FAIRY CAKE CASES,322.85,337.70000000000005,303.05,490.6,454.85,457.6,247.59000000000003,388.85,431.20000000000005,420.38000000000005,290.70000000000005,394.15000000000003,70.30000000000001
6PC WOOD PLATE SET DISPOSABLE,0.0,0.0,0.0,0.0,0.0,0.0,38.75,71.25,0.0,16.25,1.25,3.75,0.0
70'S ALPHABET WALL ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7,0.0,0.0
72 CAKE CASES VINTAGE CHRISTMAS,13.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72 SWEETHEART FAIRY CAKE CASES,215.05,486.20000000000005,197.45000000000002,243.65000000000003,181.5,196.9,160.60000000000002,174.35000000000002,228.8,287.90000000000003,239.60000000000002,221.43,114.60000000000001
75 BLACK PETIT FOUR CASES,6.72,5.46,1.26,0.0,1.26,0.0,7.9799999999999995,0.0,1.26,0.0,0.0,0.0,0.0
75 GREEN FAIRY CAKE CASES,0.0,3.8500000000000005,0.55,1.6500000000000001,1.6500000000000001,0.0,0.0,0.0,0.0,2.2,0.55,3.8500000000000005,0.55
75 GREEN PETIT FOUR CASES,13.86,3.36,0.84,10.92,21.84,10.08,1.26,1.26,11.76,10.92,10.08,20.16,11.76
A PRETTY THANK YOU CARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.24,40.32
A4 WALL TIDY BLUE OFFICE,7.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6500000000000004,0.53,0.0
A4 WALL TIDY RED FLOWERS,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24,0.53,0.0
ABC TREASURE BOOK BOX ,0.0,0.0,0.0,504.0,279.0,189.0,141.75,175.5,128.25,294.90999999999997,193.5,231.75,22.5
ABSTRACT CIRCLE JOURNAL ,15.299999999999999,17.849999999999998,17.849999999999998,17.849999999999998,15.299999999999999,5.1,22.95,22.95,30.599999999999998,2.55,7.6499999999999995,5.1,0.0
ABSTRACT CIRCLES POCKET BOOK,11.05,5.1,7.6499999999999995,17.0,9.35,5.1,11.899999999999999,7.6499999999999995,2.55,9.35,10.2,31.449999999999996,5.949999999999999
ABSTRACT CIRCLES SKETCHBOOK ,41.25,37.5,41.25,15.0,26.25,26.25,45.0,18.75,56.25,37.5,37.46,86.17,15.0
"ACRYLIC HANGING JEWEL,BLUE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,11.02,38.38,34.2,0.0
"ACRYLIC HANGING JEWEL,PINK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.480000000000004,5.32,0.0
"ACRYLIC JEWEL ICICLE, BLUE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.120000000000001,2.2800000000000002,0.0,0.38,0.0
"ACRYLIC JEWEL ICICLE, PINK",0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,9.88,20.14,0.76
"ACRYLIC JEWEL SNOWFLAKE, PINK",0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACRYLIC JEWEL SNOWFLAKE,PINK",15.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADULT APRON APPLE DELIGHT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.9,29.700000000000003,202.95000000000002,262.35,0.0
ADVENT CALENDAR GINGHAM SACK,77.35000000000001,0.0,0.0,0.0,0.0,17.85,41.650000000000006,214.2,166.60000000000002,452.20000000000005,1142.4,1323.75,53.550000000000004
AFGHAN SLIPPER SOCK PAIR,72.45,138.0,34.5,0.0,0.0,6.9,0.0,0.0,0.0,3.45,75.9,20.700000000000003,0.0
AGED GLASS SILVER T-LIGHT HOLDER,293.8,89.05000000000001,89.7,63.050000000000004,89.7,105.95000000000002,82.55000000000001,118.30000000000001,87.75000000000001,124.80000000000001,130.0,376.35,85.80000000000001
AIRLINE BAG VINTAGE JET SET BROWN,128.15,21.25,55.900000000000006,72.25,102.0,21.25,46.75,51.0,68.0,211.4,136.0,103.85,25.5
AIRLINE BAG VINTAGE JET SET RED,166.4,55.25,115.4,128.15,85.0,55.25,131.75,93.5,170.65,233.85000000000002,335.75,265.35,25.5
AIRLINE BAG VINTAGE JET SET WHITE,42.5,34.0,21.25,76.5,76.5,29.75,55.25,38.25,25.5,112.35,161.5,100.8,29.75
AIRLINE BAG VINTAGE TOKYO 78,304.25,91.75,232.75,273.95000000000005,170.0,114.4,178.5,118.4,213.15,295.75,345.55,524.7,132.75
AIRLINE BAG VINTAGE WORLD CHAMPION ,38.25,34.0,12.75,140.9,63.75,8.5,89.25,29.75,55.25,120.85,111.15,171.85,42.5
"AIRLINE LOUNGE,METAL SIGN",81.9,33.6,54.60000000000001,58.800000000000004,72.78,71.4,56.7,81.9,119.7,103.92,58.99,131.52,81.4
ALARM CLOCK BAKELIKE CHOCOLATE,345.0,232.5,183.75,326.25,348.75,262.5,510.0,450.0,405.0,618.71,779.92,667.38,300.0
ALARM CLOCK BAKELIKE GREEN,1560.0,791.25,798.75,937.5,543.75,0.0,1053.75,1226.25,1365.0,2032.22,1604.95,2365.77,1012.06
ALARM CLOCK BAKELIKE IVORY,746.25,386.25,326.25,367.5,303.75,498.75,558.9,480.0,577.5,962.31,746.25,1064.06,348.75
ALARM CLOCK BAKELIKE ORANGE,630.0,390.0,288.75,446.25,690.0,821.25,607.5,637.5,686.25,802.42,119.96000000000001,0.0,0.0
ALARM CLOCK BAKELIKE PINK,941.25,438.75,465.0,390.0,540.0,607.5,817.5,536.25,761.25,1458.67,1121.13,1735.97,588.59
ALARM CLOCK BAKELIKE RED ,1248.75,945.0,828.75,772.5,1128.75,1042.5,1166.4,836.25,1061.25,1862.19,1492.46,2399.72,1001.09
ALPHABET HEARTS STICKER SHEET,34.0,45.9,11.049999999999999,26.349999999999998,9.35,44.199999999999996,21.25,10.2,0.0,0.0,10.2,13.6,0.85
ALPHABET STENCIL CRAFT,91.25,60.0,36.25,45.0,96.47,23.75,61.25,78.75,125.44,148.75,55.0,148.55,71.17
ALUMINIUM HEART,0.0,0.0,0.0,0.0,0.0,44.82000000000001,14.940000000000001,14.940000000000001,0.0,0.0,0.0,0.0,0.0
ALUMINIUM STAMPED HEART,0.0,0.0,0.0,0.0,74.7,423.30000000000007,117.03,158.57000000000002,124.50000000000001,216.63000000000002,109.56,261.45000000000005,42.330000000000005
AMBER BERTIE GLASS BEAD BAG CHARM,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMBER DIAMANTE EXPANDABLE RING,12.75,0.0,0.0,4.25,51.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0
AMBER DROP EARRINGS W LONG BEADS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.10000000000001,2.95,0.0,2.95
AMBER FINE BEAD NECKLACE W TASSEL,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0
AMBER GLASS TASSLE BAG CHARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,0.0
AMETHYST DIAMANTE EXPANDABLE RING,4.25,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0
AMETHYST HOOP EARRING FLORAL LEAF,8.850000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0
ANGEL DECORATION 3 BUTTONS ,42.42,0.0,0.0,0.0,0.0,0.0,2.52,2.52,1.26,15.959999999999999,39.06,73.08,14.7
ANGEL DECORATION PAINTED ZINC ,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,81.9,70.85000000000001,2.6
ANGEL DECORATION STARS ON DRESS,17.64,0.42,0.0,0.0,0.0,0.0,2.94,0.84,1.26,16.8,18.9,50.82,31.08
ANGEL DECORATION WITH LACE PADDED,72.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.349999999999998,0.0,0.0,0.0,0.0
ANIMAL STICKERS,11.129999999999999,14.91,5.04,5.67,5.67,5.04,0.84,12.6,10.08,10.08,6.51,35.07,5.25
ANIMALS AND NATURE WALL ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.75,67.5,0.0
ANT COPPER LIME BOUDICCA BRACELET,14.850000000000001,9.9,4.95,0.0,0.0,0.0,0.0,9.9,4.95,44.550000000000004,44.550000000000004,64.35,24.75
ANT COPPER PINK BOUDICCA BRACELET,14.850000000000001,0.0,4.95,0.0,0.0,14.850000000000001,0.0,9.9,0.0,29.700000000000003,39.6,0.0,39.6
ANT COPPER RED BOUDICCA BRACELET,4.95,0.0,4.95,0.0,0.0,14.850000000000001,0.0,0.0,0.0,0.0,4.95,4.95,9.9
ANT COPPER TURQ BOUDICCA BRACELET,29.700000000000003,9.9,4.95,0.0,0.0,0.0,0.0,9.9,0.0,59.400000000000006,34.65,49.5,24.75
ANT SILVER FUSCHIA BOUDICCA RING,5.9,0.0,5.9,8.850000000000001,0.0,8.850000000000001,0.0,0.0,0.0,0.0,11.8,0.0,0.0
ANT SILVER LIME GREEN BOUDICCA RING,8.850000000000001,0.0,5.9,0.0,0.0,2.95,11.8,0.0,0.0,2.95,11.8,35.400000000000006,0.0
ANT SILVER PURPLE BOUDICCA RING,8.850000000000001,0.0,0.0,0.0,0.0,0.0,8.850000000000001,0.0,0.0,0.0,11.8,0.0,0.0
ANT SILVER TURQUOISE BOUDICCA RING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.700000000000003,0.0
ANT WHITE WIRE HEART SPIRAL,55.3,146.15,63.2,71.1,35.55,59.25,79.0,15.8,110.60000000000001,35.55,19.75,27.650000000000002,19.5
ANTIQUE ALL GLASS CANDLESTICK,79.80000000000001,0.0,37.800000000000004,0.0,39.900000000000006,12.600000000000001,8.4,37.800000000000004,58.800000000000004,96.60000000000001,102.18,260.40000000000003,115.5
ANTIQUE GLASS DRESSING TABLE POT,575.25,262.55,141.60000000000002,171.10000000000002,224.20000000000002,297.95,169.0,312.70000000000005,132.75,389.40000000000003,391.6,253.37,277.19000000000005
ANTIQUE GLASS HEART DECORATION ,315.9,0.0,23.4,23.4,5.85,0.0,23.4,0.0,19.5,0.0,0.0,0.0,0.0
ANTIQUE GLASS PEDESTAL BOWL,367.5,219.24,135.0,144.24,247.5,170.49,177.99,162.99,90.0,101.25,204.24,342.95,157.15
ANTIQUE GLASS PLACE SETTING,30.0,0.0,0.0,45.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,12.5,0.0
ANTIQUE IVORY WIRE BOWL SMALL,0.0,0.0,0.0,0.0,0.0,129.48000000000002,22.410000000000004,0.0,29.880000000000003,14.940000000000001,22.410000000000004,22.410000000000004,0.0
ANTIQUE MID BLUE FLOWER EARRINGS,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,8.5,0.0,0.0,0.0,0.0
