StockCode,Description,TotalQty,TotalRevenue,LastSold,FirstSold,NumOrders,DaysSinceLastSale
16151A,FLOWERS HANDBAG blue and orange,6,7.5,2011-05-22 11:53:00,2011-05-11 12:32:00,2,201
16156L,WRAP CAROUSEL,325,136.5,2011-12-02 10:22:00,2011-03-29 15:15:00,13,7
16156L,"WRAP, CAROUSEL",100,42.0,2011-03-03 13:45:00,2011-01-07 09:40:00,4,280
16156S,WRAP PINK FAIRY CAKES ,3800,1596.0,2011-12-08 12:29:00,2010-12-02 13:44:00,152,1
16161G,WRAP BAD HAIR DAY,450,45.0,2011-11-24 11:19:00,2011-03-15 11:45:00,18,15
16161M,WRAP  PINK FLOCK,25,10.5,2010-12-02 18:15:00,2010-12-02 18:15:00,1,371
16161P,WRAP ENGLISH ROSE ,5801,2436.42,2011-12-07 11:43:00,2010-12-02 18:08:00,233,2
16161U,WRAP SUKI AND FRIENDS,3075,1291.5,2011-12-02 16:34:00,2010-12-05 14:45:00,123,6
16162L,THE KING GIFT BAG,17,11.05,2011-09-13 11:14:00,2011-06-10 11:29:00,6,87
16162M,THE KING GIFT BAG 25x24x12cm,26,10.92,2011-11-27 13:26:00,2011-07-19 12:47:00,7,11
16168M,FUNKY MONKEY GIFT BAG MEDIUM,301,126.42,2011-12-08 16:22:00,2010-12-08 15:38:00,19,0
16169E,WRAP 50'S  CHRISTMAS,3338,1401.96,2011-12-09 10:20:00,2011-07-21 13:06:00,134,0
16169K,WRAP FOLK ART,200,84.0,2011-09-28 16:07:00,2010-12-06 15:54:00,8,71
16169M,WRAP DAISY CARPET ,610,256.2,2011-12-02 10:22:00,2011-01-05 13:40:00,24,7
16169N,WRAP BLUE RUSSIAN FOLKART,25,10.5,2010-12-06 12:06:00,2010-12-06 12:06:00,1,368
16169P,WRAP GREEN RUSSIAN FOLKART ,50,21.0,2010-12-19 11:35:00,2010-12-10 11:24:00,2,355
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,2011-04-17 13:43:00,2011-03-11 14:35:00,2,235
16202B,PASTEL BLUE PHOTO ALBUM ,29,14.5,2011-04-19 14:49:00,2011-04-17 13:43:00,2,233
16202E,BLACK PHOTO ALBUM ,15,7.5,2011-04-17 13:43:00,2011-04-04 16:36:00,3,235
16206B,RED PURSE WITH PINK HEART,7,8.75,2011-01-26 12:29:00,2010-12-23 16:06:00,2,317
16207A,PINK STRAWBERRY HANDBAG ,13,38.35000000000001,2011-11-06 16:14:00,2010-12-19 14:41:00,5,32
16207B,PINK HEART RED HANDBAG,4,11.31,2011-08-30 10:49:00,2011-01-11 12:41:00,3,101
16216,LETTER SHAPE PENCIL SHARPENER,226,24.14,2011-12-07 12:41:00,2010-12-12 13:47:00,23,2
16218,CARTOON  PENCIL SHARPENERS,95,7.7,2011-12-05 12:46:00,2010-12-12 12:08:00,15,4
16219,HOUSE SHAPE PENCIL SHARPENER,215,29.1,2011-12-01 12:01:00,2010-12-16 14:34:00,15,8
16225,RATTLE SNAKE EGGS,424,426.44,2011-12-08 20:01:00,2010-12-12 10:48:00,71,0
16235,RECYCLED PENCIL WITH RABBIT ERASER,470,100.8,2011-11-30 11:48:00,2010-12-08 12:35:00,54,9
16236,KITTY PENCIL ERASERS,174,36.54,2011-12-08 11:43:00,2010-12-10 11:24:00,40,1
16237,SLEEPING CAT ERASERS,305,64.05,2011-12-08 19:57:00,2010-12-03 11:19:00,67,0
16238,PARTY TIME PENCIL ERASERS,167,41.37,2011-12-08 11:43:00,2010-12-03 14:54:00,42,1
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,7.85,2011-05-11 15:16:00,2011-04-26 16:45:00,2,211
16248B,BLUE HOLE PUNCH,13,16.25,2011-10-30 15:55:00,2011-03-07 17:52:00,7,39
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,27.91,2011-11-30 14:17:00,2011-06-15 11:56:00,9,8
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,121,53.57,2011-12-05 17:17:00,2010-12-01 12:23:00,29,3
16259,PIECE OF CAMO STATIONERY SET,82,6.5600000000000005,2011-11-13 11:55:00,2011-06-17 12:16:00,6,26
17003,BROCADE RING PURSE ,429,154.47,2011-12-06 16:21:00,2010-12-05 15:12:00,47,2
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,50.400000000000006,2011-06-08 14:35:00,2010-12-06 13:01:00,2,183
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,62.150000000000006,2011-05-19 12:10:00,2010-12-16 16:45:00,6,204
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,270,244.89999999999998,2011-12-02 14:25:00,2010-12-15 15:34:00,24,6
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,359,340.95,2011-11-30 14:17:00,2010-12-10 12:33:00,35,8
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,266,260.2,2011-12-08 12:50:00,2010-12-15 15:00:00,42,1
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,385,362.95,2011-12-08 12:50:00,2010-12-10 12:33:00,44,1
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,35,40.05,2010-12-15 15:34:00,2010-12-10 12:33:00,3,358
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,329.05,2011-12-08 19:24:00,2010-12-10 12:33:00,42,0
17013D,ORIGAMI ROSE INCENSE IN TUBE,52,56.279999999999994,2011-06-07 10:05:00,2010-12-14 16:39:00,6,185
17014A,ORIGAMI VANILLA INCENSE CONES,58,27.51,2011-06-27 13:58:00,2010-12-15 15:34:00,6,164
17021,NAMASTE SWAGAT INCENSE,327,98.1,2011-11-17 14:24:00,2010-12-06 15:27:00,28,21
17028J,INCENSE BAZAAR PEACH,6,2.52,2011-01-31 15:27:00,2011-01-31 15:27:00,1,311
17038,PORCELAIN BUDAH INCENSE HOLDER,11,1.1,2011-11-24 12:48:00,2011-01-10 17:18:00,4,15
17084A,TRANQUILITY MASALA INCENSE,150,31.5,2011-09-13 14:53:00,2011-02-22 16:15:00,6,86
17084J,LOVE POTION MASALA INCENSE,175,36.75,2011-09-13 14:53:00,2010-12-07 14:30:00,7,86
17084N,FAIRY DREAMS INCENSE ,600,126.0,2011-12-08 19:24:00,2010-12-09 14:50:00,24,0
17084P,DRAGONS BLOOD INCENSE,299,62.79,2011-11-10 12:01:00,2010-12-09 14:50:00,12,29
17090A,LAVENDER INCENSE 40 CONES IN TIN,37,46.25,2011-11-24 10:24:00,2010-12-02 13:11:00,8,15
17090D,VANILLA INCENSE 40 CONES IN TIN,29,36.25,2011-07-11 11:38:00,2010-12-02 13:11:00,12,151
17091A,LAVENDER INCENSE IN TIN,135,85.23,2011-05-18 11:58:00,2010-12-01 11:21:00,24,205
17091J,VANILLA INCENSE IN TIN,279,163.44,2011-12-09 11:20:00,2010-12-05 11:57:00,47,0
17096,ASSORTED LAQUERED INCENSE HOLDERS,65,13.65,2011-05-27 13:32:00,2011-01-10 17:18:00,4,195
17107D,FLOWER FAIRY 5 DRAWER LINERS,59,150.45,2011-12-05 15:51:00,2011-08-28 13:32:00,20,3
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.299999999999999,2011-09-19 15:00:00,2011-09-19 15:00:00,1,80
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,267.75,2011-06-19 14:42:00,2010-12-03 12:24:00,25,172
17109D,FLOWER FAIRY INCENSE BOUQUET,25,18.669999999999998,2011-04-21 12:34:00,2010-12-05 10:45:00,4,232
17129F,BLUE GLASS GEMS IN BAG,139,106.92999999999999,2011-11-10 12:37:00,2011-03-14 13:04:00,14,29
17136A,BLUE STONES ON WIRE FOR CANDLE,256,21.91,2011-10-13 13:35:00,2011-02-01 13:25:00,16,56
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27,11.34,2011-01-26 14:51:00,2010-12-01 12:54:00,9,316
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,2011-01-12 15:22:00,2010-12-10 11:01:00,7,330
17174,ASSTD RASTA KEY-CHAINS,9,3.7800000000000002,2011-11-24 15:01:00,2011-01-16 13:04:00,3,14
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,15.0,2011-12-04 10:51:00,2011-11-13 11:39:00,2,5
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,270,48.6,2011-07-19 13:01:00,2010-12-06 10:18:00,15,142
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,153.1,2011-10-07 13:17:00,2010-12-06 13:47:00,15,62
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,12.75,2011-06-22 16:16:00,2010-12-02 13:49:00,4,169
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,285,712.3499999999999,2011-11-18 12:47:00,2010-12-02 13:49:00,49,21
18098C,PORCELAIN BUTTERFLY OIL BURNER,145,418.15000000000003,2011-08-08 13:11:00,2010-12-05 15:40:00,35,122
20615,BLUE POLKADOT PASSPORT COVER,231,233.34,2011-12-08 20:01:00,2010-12-02 19:18:00,35,0
20616,CHERRY BLOSSOM PASSPORT COVER,86,86.78,2011-12-08 20:01:00,2010-12-01 14:41:00,24,0
20617,FIRST CLASS PASSPORT COVER ,66,137.74,2011-11-28 13:37:00,2010-12-14 14:15:00,26,10
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,137.88000000000002,2011-12-06 16:21:00,2010-12-08 12:46:00,28,2
20619,TROPICAL PASSPORT COVER ,94,170.23000000000002,2011-11-28 15:54:00,2011-01-19 11:38:00,21,10
20622,VIP PASSPORT COVER ,35,73.5,2011-11-28 11:18:00,2011-07-03 15:19:00,11,11
20622,VIPPASSPORT COVER ,79,128.58,2011-06-22 12:16:00,2010-12-14 11:48:00,20,170
20652,BLUE POLKADOT LUGGAGE TAG ,147,191.01,2011-12-08 20:01:00,2010-12-03 14:54:00,33,0
20653,CHERRY BLOSSOM LUGGAGE TAG,33,43.67,2011-12-05 17:17:00,2011-03-10 12:48:00,6,3
20654,FIRST CLASS LUGGAGE TAG ,105,126.69,2011-12-04 13:32:00,2010-12-10 11:01:00,23,4
20655,QUEEN OF SKIES LUGGAGE TAG,89,109.11,2011-12-04 13:32:00,2010-12-05 15:12:00,34,4
20657,TROPICAL LUGGAGE TAG,61,76.39,2011-11-07 10:58:00,2010-12-03 14:54:00,22,32
20658,RED RETROSPOT LUGGAGE TAG,287,358.75,2011-09-26 13:57:00,2010-12-03 14:54:00,58,73
20659,ECONOMY LUGGAGE TAG,94,139.56,2011-12-06 13:20:00,2010-12-05 15:12:00,29,2
20661,BLUE POLKADOT PURSE ,9,35.07,2011-10-31 14:09:00,2010-12-03 14:54:00,5,38
20662,FIRST CLASS HOLIDAY PURSE ,11,40.97,2011-10-24 17:07:00,2011-01-12 12:31:00,5,45
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,11.690000000000001,2011-10-17 13:31:00,2010-12-12 16:14:00,3,52
20664,TROPICAL HOLIDAY PURSE ,6,17.700000000000003,2010-12-21 17:16:00,2010-12-12 12:08:00,3,352
20665,RED RETROSPOT PURSE ,340,998.2000000000002,2011-10-21 12:05:00,2010-12-02 15:46:00,73,49
20666,ECONOMY HOLIDAY PURSE,4,11.8,2011-04-10 11:35:00,2010-12-12 12:26:00,4,243
20667,CHERRY BLOSSOM PURSE,1,2.95,2011-05-31 11:39:00,2011-05-31 11:39:00,1,192
20668,DISCO BALL CHRISTMAS DECORATION,2082,249.84,2011-12-09 10:51:00,2010-12-01 11:45:00,103,0
20669,RED HEART LUGGAGE TAG,195,243.75,2011-11-27 14:40:00,2010-12-01 11:45:00,42,11
20670,VIP HOLIDAY PURSE,8,29.28,2011-11-15 16:38:00,2010-12-12 12:08:00,6,23
20671,BLUE TEATIME PRINT BOWL ,10,12.5,2010-12-09 13:34:00,2010-12-05 13:55:00,2,364
20674,GREEN POLKADOT BOWL,1000,1251.21,2011-12-08 15:31:00,2010-12-02 11:21:00,144,0
20675,BLUE POLKADOT BOWL,1404,1756.21,2011-12-08 15:31:00,2010-12-02 12:47:00,205,0
20676,RED RETROSPOT BOWL,2050,2566.13,2011-12-08 15:31:00,2010-12-02 11:21:00,266,0
20677,PINK POLKADOT BOWL,1469,1844.72,2011-12-08 15:31:00,2010-12-02 12:50:00,197,0
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,2011-09-23 14:49:00,2011-09-23 14:49:00,1,76
20679,EDWARDIAN PARASOL RED,1070,6238.85,2011-12-08 15:54:00,2010-12-01 09:02:00,259,0
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,406.25,2011-03-10 13:58:00,2010-12-02 19:59:00,33,273
20682,RED RETROSPOT CHILDRENS UMBRELLA,960,3134.66,2011-12-07 15:02:00,2010-12-01 17:35:00,179,1
20684,STRAWBERRY DREAM CHILDS UMBRELLA,77,250.25,2011-07-22 10:52:00,2010-12-05 12:13:00,32,140
20685,DOORMAT RED RETROSPOT,1386,9469.02,2011-12-09 12:49:00,2010-12-01 15:00:00,119,0
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,252,822.38,2011-12-08 13:50:00,2010-12-05 12:00:00,64,0
20694,FLORAL PINK MONSTER,36,135.0,2011-10-31 13:58:00,2011-02-07 11:20:00,10,38
20695,FLORAL BLUE MONSTER,5,21.25,2011-11-17 15:08:00,2010-12-08 15:17:00,4,21
20696,FLORAL SOFT CAR TOY,32,120.0,2011-11-04 15:08:00,2010-12-17 11:30:00,10,34
20697,LITTLE GREEN MONSTER SOFT TOY,17,43.349999999999994,2011-11-23 12:20:00,2010-12-03 17:28:00,9,16
20698,LITTLE PINK MONSTER SOFT TOY,16,40.8,2011-11-23 12:20:00,2011-01-11 12:41:00,7,16
20699,MOUSEY LONG LEGS SOFT TOY,29,73.94999999999999,2011-12-05 17:36:00,2010-12-03 17:28:00,11,3
20700,GREEN CAT FLORAL CUSHION COVER ,10,37.5,2011-06-20 13:27:00,2010-12-21 16:06:00,4,171
20701,PINK CAT FLORAL CUSHION COVER ,6,22.5,2011-06-20 13:27:00,2010-12-23 16:06:00,3,171
20702,PINK PADDED MOBILE,127,539.75,2011-10-26 13:07:00,2010-12-05 13:42:00,40,43
20703,BLUE PADDED SOFT MOBILE,1,4.25,2011-04-14 11:45:00,2011-04-14 11:45:00,1,239
20704,MR ROBOT SOFT TOY,211,626.45,2011-12-09 10:46:00,2010-12-13 15:44:00,39,0
20705,MRS ROBOT SOFT TOY,143,428.85,2011-12-06 12:19:00,2010-12-14 12:59:00,28,3
20707,CRAZY DAISY HEART DECORATION,155,195.52,2011-12-05 17:17:00,2010-12-01 12:43:00,31,3
20711,JUMBO BAG TOYS ,1768,3567.78,2011-11-28 09:40:00,2010-12-01 14:11:00,228,11
20712,JUMBO BAG WOODLAND ANIMALS,3479,7100.46,2011-12-08 11:43:00,2010-12-01 13:04:00,446,1
20713,JUMBO BAG OWLS,2751,5582.32,2011-12-09 12:19:00,2010-12-01 11:45:00,354,0
20716,PARTY FOOD SHOPPER BAG,214,267.5,2011-06-29 11:46:00,2010-12-08 12:06:00,33,163
20717,STRAWBERRY SHOPPER BAG,1384,1735.88,2011-12-08 20:01:00,2010-12-01 11:45:00,222,0
20718,RED RETROSPOT SHOPPER BAG,2687,3372.06,2011-12-09 10:10:00,2010-12-02 15:18:00,362,0
20719,WOODLAND CHARLOTTE BAG,4149,3514.04,2011-12-08 15:09:00,2010-12-02 15:46:00,468,0
20723,STRAWBERRY CHARLOTTE BAG,3552,3037.4,2011-12-07 12:33:00,2010-12-01 09:37:00,445,2
20724,RED RETROSPOT CHARLOTTE BAG,5955,5068.25,2011-12-09 10:10:00,2010-12-02 14:47:00,664,0
20725,LUNCH BAG RED RETROSPOT,9776,16194.8,2011-12-09 11:34:00,2010-12-01 09:37:00,1180,0
20726,LUNCH BAG WOODLAND,6091,10067.51,2011-12-08 20:01:00,2010-12-01 11:21:00,785,0
20727,LUNCH BAG  BLACK SKULL.,7328,12079.2,2011-12-09 11:34:00,2010-12-01 11:29:00,995,0
20728,LUNCH BAG CARS BLUE,7018,11594.58,2011-12-07 16:47:00,2010-12-01 11:29:00,915,1
20731,POSY CANDY BAG,39,48.75,2011-06-20 14:48:00,2010-12-06 12:15:00,7,171
20733,GOLD MINI TAPE MEASURE ,216,183.2,2011-12-08 13:50:00,2010-12-02 11:35:00,43,0
20735,BLACK MINI TAPE MEASURE ,58,49.3,2011-12-06 14:23:00,2010-12-08 12:08:00,29,2
20749,ASSORTED COLOUR MINI CASES,463,2940.0499999999997,2011-12-01 09:06:00,2010-12-02 07:49:00,35,8
20750,RED RETROSPOT MINI CASES,571,3625.8499999999995,2011-12-01 11:10:00,2010-12-07 09:51:00,40,8
20751,FUNKY WASHING UP GLOVES ASSORTED,797,1673.7,2011-12-04 12:32:00,2010-12-02 15:46:00,169,5
20752,BLUE POLKADOT WASHING UP GLOVES,360,756.0000000000001,2011-11-27 14:50:00,2010-12-02 15:46:00,115,11
20754,RETROSPOT RED WASHING UP GLOVES,923,1938.3000000000002,2011-11-20 14:43:00,2010-12-01 12:43:00,233,18
20755,BLUE PAISLEY POCKET BOOK,231,196.35,2011-12-07 12:26:00,2010-12-01 17:35:00,48,2
20756,GREEN FERN POCKET BOOK,63,53.55,2011-11-22 15:45:00,2011-01-20 14:13:00,22,16
20757,RED DAISY POCKET BOOK ,122,104.47999999999999,2011-11-24 14:09:00,2010-12-02 14:09:00,29,14
20758,ABSTRACT CIRCLES POCKET BOOK,158,134.29999999999998,2011-12-07 13:53:00,2010-12-09 14:19:00,41,1
20759,CHRYSANTHEMUM POCKET BOOK ,64,54.4,2011-12-07 13:53:00,2010-12-02 14:09:00,20,1
20760,GARDEN PATH POCKET BOOK,69,58.65,2011-11-24 14:09:00,2010-12-02 14:09:00,21,14
20761,BLUE PAISLEY SKETCHBOOK,107,408.67,2011-12-07 12:21:00,2010-12-08 14:46:00,52,2
20762,GREEN FERN SKETCHBOOK ,101,382.46,2011-12-06 12:56:00,2010-12-07 15:39:00,51,2
20763,DAISY SKETCHBOOK ,71,189.96,2011-12-06 12:15:00,2010-12-08 12:36:00,25,3
20764,ABSTRACT CIRCLES SKETCHBOOK ,126,483.63,2011-12-06 14:35:00,2010-12-05 13:00:00,60,2
20765,CHRYSANTHEMUM SKETCHBOOK ,94,367.34,2011-12-05 17:17:00,2010-12-01 17:24:00,51,3
20766,GARDEN PATH SKETCHBOOK,111,414.58,2011-12-04 15:00:00,2010-12-02 15:46:00,47,4
20767,BLUE PAISLEY JOURNAL ,178,458.71999999999997,2011-12-06 14:35:00,2010-12-03 11:19:00,57,2
20768,GREEN FERN JOURNAL ,94,242.10999999999999,2011-12-06 15:43:00,2010-12-01 16:57:00,35,2
20769,DAISY JOURNAL ,66,173.11999999999998,2011-12-06 15:43:00,2010-12-06 12:06:00,26,2
20770,ABSTRACT CIRCLE JOURNAL ,71,181.04999999999998,2011-11-27 11:47:00,2010-12-05 16:41:00,27,12
20771,CHRYSANTHEMUM  JOURNAL,70,180.91,2011-12-06 12:56:00,2010-12-05 16:41:00,27,2
20772,GARDEN PATH JOURNAL,165,423.15999999999997,2011-12-08 19:28:00,2010-12-01 12:43:00,45,0
20773,BLUE PAISLEY NOTEBOOK,56,92.39999999999999,2011-09-12 13:43:00,2010-12-01 12:15:00,23,87
20774,GREEN FERN NOTEBOOK,52,85.8,2011-09-26 10:39:00,2010-12-01 12:15:00,22,74
20775,DAISY NOTEBOOK ,63,103.94999999999999,2011-11-30 17:37:00,2010-12-06 12:44:00,20,8
20777,CHRYSANTHEMUM NOTEBOOK,95,156.75,2011-11-30 17:37:00,2010-12-01 12:15:00,36,8
20778,GARDEN PATH NOTEBOOK ,15,24.75,2011-04-26 13:22:00,2010-12-09 14:19:00,8,226
20780,BLACK EAR MUFF HEADPHONES,35,182.07000000000002,2011-11-25 11:20:00,2010-12-01 16:57:00,16,14
20781,GOLD EAR MUFF HEADPHONES,29,152.13,2011-12-07 14:12:00,2010-12-06 08:34:00,20,1
20782,CAMOUFLAGE EAR MUFF HEADPHONES,38,205.08,2011-12-06 12:56:00,2010-12-07 09:13:00,16,2
20793,BLUE TILED TRAY,8,54.0,2011-09-08 10:35:00,2010-12-12 12:01:00,4,92
20794,BLUE  TILE HOOK,85,213.14999999999998,2011-12-05 14:39:00,2010-12-17 12:24:00,15,3
20795,LARGE BLUE PROVENCAL CERAMIC BALL,44,92.4,2011-12-02 13:17:00,2011-01-24 14:54:00,8,6
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,100.64999999999999,2011-11-10 12:01:00,2011-03-01 17:32:00,8,29
20798,CLEAR MILKSHAKE GLASS,36,75.60000000000001,2011-01-25 13:38:00,2010-12-02 12:28:00,5,317
20801,LARGE PINK GLASS SUNDAE DISH,496,436.48,2011-05-25 16:08:00,2010-12-13 15:46:00,45,197
20802,SMALL GLASS SUNDAE DISH CLEAR,252,415.79999999999995,2011-11-28 10:31:00,2010-12-06 08:34:00,35,11
20803,SMALL PINK GLASS SUNDAE DISH,107,58.11,2011-05-01 13:45:00,2011-02-15 14:49:00,15,221
20816,GOLD FLOWER CUSHION COVER ,8,15.6,2011-04-28 19:53:00,2011-04-28 13:17:00,2,224
20818,GOLD TEDDY BEAR,12,20.0,2011-05-04 13:36:00,2011-01-28 15:29:00,2,218
20819,SILVER TEDDY BEAR,48,183.71,2011-11-30 11:17:00,2010-12-06 15:13:00,16,9
20820,SILVER LOOKING MIRROR,5,24.75,2011-03-01 17:28:00,2010-12-01 11:21:00,2,282
20821,GOLDIE LOOKING MIRROR,16,79.2,2011-11-23 15:53:00,2011-04-05 13:48:00,5,15
20823,GOLD WINE GOBLET,64,50.56,2011-06-09 14:23:00,2011-04-19 16:14:00,5,182
20826,SILVER APERITIF GLASS,24,30.12,2011-05-18 11:08:00,2010-12-13 15:12:00,3,205
20827,GOLD APERITIF GLASS,16,6.24,2011-04-21 12:34:00,2011-04-21 12:34:00,1,232
20828,GLITTER BUTTERFLY CLIPS,818,2085.9,2011-12-06 16:21:00,2010-12-02 13:32:00,173,2
20829,GLITTER HANGING BUTTERFLY STRING,906,1910.2500000000002,2011-12-06 14:23:00,2010-12-03 17:20:00,160,2
20830,SILVER PHOTO FRAME,75,157.5,2011-10-02 15:33:00,2010-12-12 10:48:00,20,67
20831,GOLD PHOTO FRAME,121,191.22000000000003,2011-12-09 10:20:00,2010-12-12 10:48:00,23,0
20832,RED FLOCK LOVE HEART PHOTO FRAME,674,362.88,2011-11-28 13:56:00,2010-12-02 12:16:00,50,10
20835,FRENCH LATTICE CUSHION COVER ,66,54.779999999999994,2011-11-10 15:23:00,2011-05-03 09:05:00,7,28
20836,FRENCH PAISLEY CUSHION COVER,170,141.1,2011-11-24 11:52:00,2011-05-03 10:43:00,17,15
20837,FRENCH FLORAL CUSHION COVER ,141,142.47,2011-11-20 11:06:00,2011-02-17 14:51:00,15,19
20838,FRENCH LATTICE CUSHION COVER ,330,282.94,2011-11-23 16:34:00,2011-05-03 10:43:00,33,15
20839,FRENCH PAISLEY CUSHION COVER ,452,411.84,2011-12-07 11:06:00,2010-12-07 14:41:00,49,2
